buffer_fill_level; old_prod_time_ms; new_prod_time_ms
45; 1000.000000; 1000.000000
44; 1000.000000; 1000.000000
43; 1000.000000; 1000.000000
42; 1000.000000; 1000.000000
42; 1000.000000; 1000.000000
41; 1000.000000; 1000.000000
40; 1000.000000; 1000.000000
39; 1000.000000; 1000.000000
38; 1000.000000; 1000.000000
38; 1000.000000; 1000.000000
37; 1000.000000; 1000.000000
36; 1000.000000; 1000.000000
35; 1000.000000; 1000.000000
34; 1000.000000; 1000.000000
34; 1000.000000; 1000.000000
33; 1000.000000; 1000.000000
32; 1000.000000; 1000.000000
31; 1000.000000; 1000.000000
30; 1000.000000; 1000.000000
30; 1000.000000; 1000.000000
29; 1000.000000; 1000.000000
28; 1000.000000; 1000.000000
27; 1000.000000; 1000.000000
26; 1000.000000; 1000.000000
26; 1000.000000; 1000.000000
25; 1000.000000; 1000.000000
24; 1000.000000; 1000.000000
23; 1000.000000; 1000.000000
22; 1000.000000; 1000.000000
22; 1000.000000; 1000.000000
21; 1000.000000; 1000.000000
20; 1000.000000; 1000.000000
19; 1000.000000; 900.000000
18; 900.000000; 810.000000
18; 810.000000; 729.000000
17; 729.000000; 656.099976
16; 656.099976; 590.489990
15; 590.489990; 531.440979
15; 531.440979; 478.296875
14; 478.296875; 430.467163
14; 430.467163; 387.420441
13; 387.420441; 348.678375
13; 348.678375; 313.810516
12; 313.810516; 282.429443
12; 282.429443; 254.186493
12; 254.186493; 228.767838
11; 228.767838; 205.891052
11; 205.891052; 185.301941
11; 185.301941; 166.771744
11; 166.771744; 150.094559
12; 150.094559; 135.085098
12; 135.085098; 121.576584
13; 121.576584; 109.418922
14; 109.418922; 98.477028
15; 98.477028; 88.629326
16; 88.629326; 79.766388
17; 79.766388; 71.789749
19; 71.789749; 64.610771
21; 64.610771; 64.610771
23; 64.610771; 64.610771
25; 64.610771; 64.610771
27; 64.610771; 64.610771
30; 64.610771; 64.610771
32; 64.610771; 64.610771
34; 64.610771; 64.610771
36; 64.610771; 64.610771
38; 64.610771; 64.610771
40; 64.610771; 64.610771
42; 64.610771; 64.610771
44; 64.610771; 64.610771
47; 64.610771; 64.610771
49; 64.610771; 64.610771
51; 64.610771; 64.610771
53; 64.610771; 64.610771
55; 64.610771; 64.610771
57; 64.610771; 64.610771
59; 64.610771; 64.610771
61; 64.610771; 71.071854
63; 71.071854; 78.179039
65; 78.179039; 85.996948
66; 85.996948; 94.596642
67; 94.596642; 104.056305
68; 104.056305; 114.461937
69; 114.461937; 125.908134
70; 125.908134; 138.498947
70; 138.498947; 152.348846
71; 152.348846; 167.583740
71; 167.583740; 184.342117
71; 184.342117; 202.776337
71; 202.776337; 223.053970
71; 223.053970; 245.359375
71; 245.359375; 269.895325
71; 269.895325; 296.884857
70; 296.884857; 326.573364
70; 326.573364; 359.230713
70; 359.230713; 395.153778
69; 395.153778; 434.669159
69; 434.669159; 478.136078
68; 478.136078; 525.949707
68; 525.949707; 578.544678
67; 578.544678; 636.399170
66; 636.399170; 700.039124
66; 700.039124; 770.043030
65; 770.043030; 847.047363
64; 847.047363; 931.752136
64; 931.752136; 1000.000000
63; 1000.000000; 1000.000000
62; 1000.000000; 1000.000000
61; 1000.000000; 1000.000000
60; 1000.000000; 1000.000000
60; 1000.000000; 1000.000000
59; 1000.000000; 1000.000000
58; 1000.000000; 1000.000000
57; 1000.000000; 1000.000000
56; 1000.000000; 1000.000000
56; 1000.000000; 1000.000000
55; 1000.000000; 1000.000000
54; 1000.000000; 1000.000000
53; 1000.000000; 1000.000000
52; 1000.000000; 1000.000000
52; 1000.000000; 1000.000000
51; 1000.000000; 1000.000000
50; 1000.000000; 1000.000000
49; 1000.000000; 1000.000000
48; 1000.000000; 1000.000000
48; 1000.000000; 1000.000000
47; 1000.000000; 1000.000000
46; 1000.000000; 1000.000000
45; 1000.000000; 1000.000000
44; 1000.000000; 1000.000000
44; 1000.000000; 1000.000000
43; 1000.000000; 1000.000000
42; 1000.000000; 1000.000000
41; 1000.000000; 1000.000000
40; 1000.000000; 1000.000000
40; 1000.000000; 1000.000000
39; 1000.000000; 1000.000000
38; 1000.000000; 1000.000000
37; 1000.000000; 1000.000000
36; 1000.000000; 1000.000000
36; 1000.000000; 1000.000000
35; 1000.000000; 1000.000000
34; 1000.000000; 1000.000000
33; 1000.000000; 1000.000000
32; 1000.000000; 1000.000000
32; 1000.000000; 1000.000000
31; 1000.000000; 1000.000000
30; 1000.000000; 1000.000000
29; 1000.000000; 1000.000000
27; 1000.000000; 1000.000000
27; 1000.000000; 1000.000000
26; 1000.000000; 1000.000000
25; 1000.000000; 1000.000000
24; 1000.000000; 1000.000000
23; 1000.000000; 1000.000000
23; 1000.000000; 1000.000000
22; 1000.000000; 1000.000000
21; 1000.000000; 1000.000000
20; 1000.000000; 1000.000000
19; 1000.000000; 900.000000
19; 900.000000; 810.000000
18; 810.000000; 729.000000
17; 729.000000; 656.099976
16; 656.099976; 590.489990
16; 590.489990; 531.440979
15; 531.440979; 478.296875
14; 478.296875; 430.467163
14; 430.467163; 387.420441
13; 387.420441; 348.678375
13; 348.678375; 313.810516
12; 313.810516; 282.429443
12; 282.429443; 254.186493
12; 254.186493; 228.767838
11; 228.767838; 205.891052
11; 205.891052; 185.301941
11; 185.301941; 166.771744
12; 166.771744; 150.094559
12; 150.094559; 135.085098
12; 135.085098; 121.576584
13; 121.576584; 109.418922
14; 109.418922; 98.477028
15; 98.477028; 88.629326
16; 88.629326; 79.766388
17; 79.766388; 71.789749
19; 71.789749; 64.610771
21; 64.610771; 64.610771
23; 64.610771; 64.610771
25; 64.610771; 64.610771
28; 64.610771; 64.610771
30; 64.610771; 64.610771
32; 64.610771; 64.610771
34; 64.610771; 64.610771
36; 64.610771; 64.610771
38; 64.610771; 64.610771
40; 64.610771; 64.610771
42; 64.610771; 64.610771
45; 64.610771; 64.610771
47; 64.610771; 64.610771
49; 64.610771; 64.610771
51; 64.610771; 64.610771
53; 64.610771; 64.610771
55; 64.610771; 64.610771
57; 64.610771; 64.610771
59; 64.610771; 64.610771
62; 64.610771; 71.071854
64; 71.071854; 78.179039
65; 78.179039; 85.996948
67; 85.996948; 94.596642
68; 94.596642; 104.056305
69; 104.056305; 114.461937
70; 114.461937; 125.908134
70; 125.908134; 138.498947
71; 138.498947; 152.348846
71; 152.348846; 167.583740
71; 167.583740; 184.342117
72; 184.342117; 202.776337
72; 202.776337; 223.053970
72; 223.053970; 245.359375
71; 245.359375; 269.895325
71; 269.895325; 296.884857
71; 296.884857; 326.573364
71; 326.573364; 359.230713
70; 359.230713; 395.153778
70; 395.153778; 434.669159
69; 434.669159; 478.136078
69; 478.136078; 525.949707
68; 525.949707; 578.544678
68; 578.544678; 636.399170
67; 636.399170; 700.039124
66; 700.039124; 770.043030
66; 770.043030; 847.047363
65; 847.047363; 931.752136
64; 931.752136; 1000.000000
63; 1000.000000; 1000.000000
63; 1000.000000; 1000.000000
62; 1000.000000; 1000.000000
61; 1000.000000; 1000.000000
60; 1000.000000; 1000.000000
59; 1000.000000; 1000.000000
59; 1000.000000; 1000.000000
58; 1000.000000; 1000.000000
57; 1000.000000; 1000.000000
56; 1000.000000; 1000.000000
55; 1000.000000; 1000.000000
55; 1000.000000; 1000.000000
54; 1000.000000; 1000.000000
53; 1000.000000; 1000.000000
52; 1000.000000; 1000.000000
51; 1000.000000; 1000.000000
51; 1000.000000; 1000.000000
50; 1000.000000; 1000.000000
49; 1000.000000; 1000.000000
48; 1000.000000; 1000.000000
47; 1000.000000; 1000.000000
47; 1000.000000; 1000.000000
46; 1000.000000; 1000.000000
45; 1000.000000; 1000.000000
44; 1000.000000; 1000.000000
43; 1000.000000; 1000.000000
43; 1000.000000; 1000.000000
42; 1000.000000; 1000.000000
41; 1000.000000; 1000.000000
40; 1000.000000; 1000.000000
39; 1000.000000; 1000.000000
39; 1000.000000; 1000.000000
38; 1000.000000; 1000.000000
37; 1000.000000; 1000.000000
36; 1000.000000; 1000.000000
35; 1000.000000; 1000.000000
35; 1000.000000; 1000.000000
34; 1000.000000; 1000.000000
33; 1000.000000; 1000.000000
32; 1000.000000; 1000.000000
31; 1000.000000; 1000.000000
31; 1000.000000; 1000.000000
30; 1000.000000; 1000.000000
29; 1000.000000; 1000.000000
28; 1000.000000; 1000.000000
27; 1000.000000; 1000.000000
27; 1000.000000; 1000.000000
26; 1000.000000; 1000.000000
25; 1000.000000; 1000.000000
24; 1000.000000; 1000.000000
23; 1000.000000; 1000.000000
23; 1000.000000; 1000.000000
22; 1000.000000; 1000.000000
21; 1000.000000; 1000.000000
20; 1000.000000; 1000.000000
19; 1000.000000; 900.000000
19; 900.000000; 810.000000
18; 810.000000; 729.000000
17; 729.000000; 656.099976
16; 656.099976; 590.489990
16; 590.489990; 531.440979
15; 531.440979; 478.296875
14; 478.296875; 430.467163
14; 430.467163; 387.420441
13; 387.420441; 348.678375
13; 348.678375; 313.810516
12; 313.810516; 282.429443
12; 282.429443; 254.186493
12; 254.186493; 228.767838
11; 228.767838; 205.891052
11; 205.891052; 185.301941
11; 185.301941; 166.771744
12; 166.771744; 150.094559
12; 150.094559; 135.085098
12; 135.085098; 121.576584
13; 121.576584; 109.418922
14; 109.418922; 98.477028
15; 98.477028; 88.629326
16; 88.629326; 79.766388
17; 79.766388; 71.789749
19; 71.789749; 64.610771
21; 64.610771; 64.610771
23; 64.610771; 64.610771
25; 64.610771; 64.610771
27; 64.610771; 64.610771
29; 64.610771; 64.610771
32; 64.610771; 64.610771
34; 64.610771; 64.610771
36; 64.610771; 64.610771
38; 64.610771; 64.610771
40; 64.610771; 64.610771
42; 64.610771; 64.610771
44; 64.610771; 64.610771
46; 64.610771; 64.610771
49; 64.610771; 64.610771
51; 64.610771; 64.610771
53; 64.610771; 64.610771
55; 64.610771; 64.610771
57; 64.610771; 64.610771
59; 64.610771; 64.610771
61; 64.610771; 71.071854
63; 71.071854; 78.179039
65; 78.179039; 85.996948
66; 85.996948; 94.596642
67; 94.596642; 104.056305
68; 104.056305; 114.461937
69; 114.461937; 125.908134
70; 125.908134; 138.498947
70; 138.498947; 152.348846
71; 152.348846; 167.583740
71; 167.583740; 184.342117
71; 184.342117; 202.776337
71; 202.776337; 223.053970
71; 223.053970; 245.359375
71; 245.359375; 269.895325
71; 269.895325; 296.884857
70; 296.884857; 326.573364
70; 326.573364; 359.230713
70; 359.230713; 395.153778
69; 395.153778; 434.669159
69; 434.669159; 478.136078
68; 478.136078; 525.949707
68; 525.949707; 578.544678
67; 578.544678; 636.399170
66; 636.399170; 700.039124
66; 700.039124; 770.043030
65; 770.043030; 847.047363
64; 847.047363; 931.752136
64; 931.752136; 1000.000000
63; 1000.000000; 1000.000000
62; 1000.000000; 1000.000000
61; 1000.000000; 1000.000000
60; 1000.000000; 1000.000000
60; 1000.000000; 1000.000000
59; 1000.000000; 1000.000000
58; 1000.000000; 1000.000000
57; 1000.000000; 1000.000000
56; 1000.000000; 1000.000000
56; 1000.000000; 1000.000000
55; 1000.000000; 1000.000000
54; 1000.000000; 1000.000000
53; 1000.000000; 1000.000000
52; 1000.000000; 1000.000000
52; 1000.000000; 1000.000000
51; 1000.000000; 1000.000000
50; 1000.000000; 1000.000000
49; 1000.000000; 1000.000000
48; 1000.000000; 1000.000000
48; 1000.000000; 1000.000000
47; 1000.000000; 1000.000000
46; 1000.000000; 1000.000000
45; 1000.000000; 1000.000000
44; 1000.000000; 1000.000000
44; 1000.000000; 1000.000000
43; 1000.000000; 1000.000000
42; 1000.000000; 1000.000000
41; 1000.000000; 1000.000000
40; 1000.000000; 1000.000000
40; 1000.000000; 1000.000000
39; 1000.000000; 1000.000000
38; 1000.000000; 1000.000000
37; 1000.000000; 1000.000000
36; 1000.000000; 1000.000000
36; 1000.000000; 1000.000000
35; 1000.000000; 1000.000000
34; 1000.000000; 1000.000000
33; 1000.000000; 1000.000000
32; 1000.000000; 1000.000000
32; 1000.000000; 1000.000000
31; 1000.000000; 1000.000000
30; 1000.000000; 1000.000000
29; 1000.000000; 1000.000000
28; 1000.000000; 1000.000000
28; 1000.000000; 1000.000000
27; 1000.000000; 1000.000000
26; 1000.000000; 1000.000000
25; 1000.000000; 1000.000000
24; 1000.000000; 1000.000000
24; 1000.000000; 1000.000000
23; 1000.000000; 1000.000000
22; 1000.000000; 1000.000000
21; 1000.000000; 1000.000000
20; 1000.000000; 1000.000000
20; 1000.000000; 1000.000000
19; 1000.000000; 900.000000
18; 900.000000; 810.000000
17; 810.000000; 729.000000
16; 729.000000; 656.099976
16; 656.099976; 590.489990
15; 590.489990; 531.440979
14; 531.440979; 478.296875
14; 478.296875; 430.467163
13; 430.467163; 387.420441
13; 387.420441; 348.678375
